index,Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
0,2181280,418241,442351,2,Leeds 2016,08/01/2016,1905,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,38,Motorcycle over 500cc
1,2191037,424993,432898,2,Leeds 2016,09/01/2016,1615,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,50,Car
2,2CQ0870,431159,436397,2,Leeds 2016,15/01/2016,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Car
3,2CQ0870,431159,436397,2,Leeds 2016,15/01/2016,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,22,Car
4,3111091,439313,432376,2,Leeds 2016,01/01/2016,956,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,57,Pedal cycle
5,3111178,426994,439957,2,Leeds 2016,01/01/2016,1115,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,59,Pedal cycle
6,3111395,427813,431257,1,Leeds 2016,01/01/2016,1352,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Female,53,Car
7,3111981,431496,432727,2,Leeds 2016,01/01/2016,2015,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,22,Car
8,3120560,431880,430498,2,Leeds 2016,02/01/2016,1110,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
9,3120872,429425,433999,1,Leeds 2016,02/01/2016,1638,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,22,Car
10,3120872,429425,433999,1,Leeds 2016,02/01/2016,1638,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,26,Car
11,3130442,435325,433760,5,Leeds 2016,03/01/2016,1150,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,35,Car
12,3130442,435325,433760,5,Leeds 2016,03/01/2016,1150,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,21,Car
13,3130442,435325,433760,5,Leeds 2016,03/01/2016,1150,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Male,28,Car
14,3130444,429147,431999,2,Leeds 2016,03/01/2016,1154,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,53,Motorcycle over 500cc
15,3130532,427651,433421,1,Leeds 2016,03/01/2016,1252,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,18,Taxi/Private hire car
16,3130769,440619,446100,1,Leeds 2016,03/01/2016,1543,A(M),Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver or rider,Slight,Female,47,Car
17,3130786,433130,436116,2,Leeds 2016,03/01/2016,1555,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,30,Car
18,3130786,433130,436116,2,Leeds 2016,03/01/2016,1555,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,8,Car
19,3130805,428943,433430,2,Leeds 2016,03/01/2016,1615,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,39,Car
20,3130805,428943,433430,2,Leeds 2016,03/01/2016,1615,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,39,Car
21,3130885,431884,435070,1,Leeds 2016,03/01/2016,1650,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,42,Car
22,3140260,422045,434280,2,Leeds 2016,04/01/2016,1730,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,26,Pedal cycle
23,3140730,443157,448516,1,Leeds 2016,04/01/2016,1413,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,58,Motorcycle over 50cc and up to 125cc
24,3141054,431210,439310,2,Leeds 2016,04/01/2016,1700,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,29,Car
25,3141054,431210,439310,2,Leeds 2016,04/01/2016,1700,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,33,Taxi/Private hire car
26,3151110,420945,439962,2,Leeds 2016,05/01/2016,1752,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,43,Pedal cycle
27,3151301,436574,435725,1,Leeds 2016,05/01/2016,1930,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,60,Car
28,3160260,432960,440281,2,Leeds 2016,06/01/2016,815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,52,Motorcycle over 500cc
29,3160311,431925,434792,1,Leeds 2016,06/01/2016,800,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,33,Car
30,3160793,426228,431783,2,Leeds 2016,06/01/2016,1410,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,25,Pedal cycle
31,3161000,429741,436518,1,Leeds 2016,06/01/2016,1520,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Pedestrian,Slight,Female,49,Car
32,3161098,429959,433326,2,Leeds 2016,06/01/2016,1723,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,39,Pedal cycle
33,3161298,428511,433054,2,Leeds 2016,06/01/2016,1355,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,27,Car
34,3161298,428511,433054,2,Leeds 2016,06/01/2016,1355,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,55,Car
35,3161323,430562,436939,2,Leeds 2016,06/01/2016,1919,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,72,Car
36,3161328,427362,433970,2,Leeds 2016,06/01/2016,1915,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,36,Car
37,3161328,427362,433970,2,Leeds 2016,06/01/2016,1915,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,38,Car
38,3170622,436173,427637,2,Leeds 2016,07/01/2016,1300,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,2,Car
39,3170622,436173,427637,2,Leeds 2016,07/01/2016,1300,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,28,Car
40,3170694,440850,434501,1,Leeds 2016,07/01/2016,1350,Motorway,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Male,43,Goods vehicle 7.5 tonnes mgw and over
41,3170743,431467,432679,2,Leeds 2016,07/01/2016,1435,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,44,Car
42,3170766,429766,433410,1,Leeds 2016,07/01/2016,1220,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,81,Bus or coach (17 or more passenger seats)
43,3170948,428638,433182,3,Leeds 2016,07/01/2016,1607,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,45,Car
44,3170948,428638,433182,3,Leeds 2016,07/01/2016,1607,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,21,Car
45,3171039,438950,431555,2,Leeds 2016,07/01/2016,1643,A,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,34,Car
46,3171039,438950,431555,2,Leeds 2016,07/01/2016,1643,A,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,37,Car
47,3171722,424108,431567,1,Leeds 2016,07/01/2016,2345,Unclassified,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver or rider,Slight,Male,26,Car
48,3180831,427023,424758,1,Leeds 2016,08/01/2016,1435,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Fatal,Male,78,Goods vehicle 7.5 tonnes mgw and over
49,3181079,431351,435059,2,Leeds 2016,08/01/2016,1706,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,56,Motorcycle over 125cc and up to 500cc
50,3181260,434969,436415,1,Leeds 2016,08/01/2016,1835,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,11,Car
51,3181333,427496,425485,2,Leeds 2016,08/01/2016,1936,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,18,Car
52,3181333,427496,425485,2,Leeds 2016,08/01/2016,1936,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,26,Car
