accident_id,easting,northing,has_coords,accident_date,year,month,weekday,hour,time_24h,num_vehicles,vehicles_bin,num_casualties,road_class,road_surface,lighting_conditions,weather_conditions,severity,casualty_severity
2181280,418241,442351,True,2016-01-08,2016,1,Friday,19,1905,2,2,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Serious,Serious
2191037,424993,432898,True,2016-01-09,2016,1,Saturday,16,1615,2,2,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
2CQ0870,431159,436397,True,2016-01-15,2016,1,Friday,16,1645,2,2,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
2CQ0870,431159,436397,True,2016-01-15,2016,1,Friday,16,1645,2,2,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3111091,439313,432376,True,2016-01-01,2016,1,Friday,9,956,2,2,1,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Slight,Slight
3111178,426994,439957,True,2016-01-01,2016,1,Friday,11,1115,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
3111395,427813,431257,True,2016-01-01,2016,1,Friday,13,1352,1,1,1,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Serious,Serious
3111981,431496,432727,True,2016-01-01,2016,1,Friday,20,2015,2,2,1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3120560,431880,430498,True,2016-01-02,2016,1,Saturday,11,1110,2,2,1,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Slight,Slight
3120872,429425,433999,True,2016-01-02,2016,1,Saturday,16,1638,1,1,2,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3120872,429425,433999,True,2016-01-02,2016,1,Saturday,16,1638,1,1,2,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3130442,435325,433760,True,2016-01-03,2016,1,Sunday,11,1150,5,3+,3,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
3130442,435325,433760,True,2016-01-03,2016,1,Sunday,11,1150,5,3+,3,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
3130442,435325,433760,True,2016-01-03,2016,1,Sunday,11,1150,5,3+,3,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
3130444,429147,431999,True,2016-01-03,2016,1,Sunday,11,1154,2,2,1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
3130532,427651,433421,True,2016-01-03,2016,1,Sunday,12,1252,1,1,1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
3130769,440619,446100,True,2016-01-03,2016,1,Sunday,15,1543,1,1,1,A(M),Wet / Damp,Darkness: no street lighting,Raining without high winds,Slight,Slight
3130786,433130,436116,True,2016-01-03,2016,1,Sunday,15,1555,2,2,2,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3130786,433130,436116,True,2016-01-03,2016,1,Sunday,15,1555,2,2,2,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3130805,428943,433430,True,2016-01-03,2016,1,Sunday,16,1615,2,2,2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3130805,428943,433430,True,2016-01-03,2016,1,Sunday,16,1615,2,2,2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3130885,431884,435070,True,2016-01-03,2016,1,Sunday,16,1650,1,1,1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
3140260,422045,434280,True,2016-01-04,2016,1,Monday,17,1730,2,2,1,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3140730,443157,448516,True,2016-01-04,2016,1,Monday,14,1413,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3141054,431210,439310,True,2016-01-04,2016,1,Monday,17,1700,2,2,2,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3141054,431210,439310,True,2016-01-04,2016,1,Monday,17,1700,2,2,2,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3151110,420945,439962,True,2016-01-05,2016,1,Tuesday,17,1752,2,2,1,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Slight,Slight
3151301,436574,435725,True,2016-01-05,2016,1,Tuesday,19,1930,1,1,1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Slight,Slight
3160260,432960,440281,True,2016-01-06,2016,1,Wednesday,8,815,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
3160311,431925,434792,True,2016-01-06,2016,1,Wednesday,8,800,1,1,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
3160793,426228,431783,True,2016-01-06,2016,1,Wednesday,14,1410,2,2,1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
